,out_of_work
0,12.0
1,28.5
2,33.5
3,32.6
4,30.2
5,23.6
6,30.3
7,34.5
8,31.4
9,35.7
10,15.5
11,30.8
12,32.1
13,27.8
14,29.5
15,31.5
16,33.1
17,22.7
18,15.3
19,28.2
20,18.3
21,27.6
22,20.0
23,15.6
24,20.1
25,17.5
26,9.0
27,5.4
28,12.3
29,16.8
30,11.0
31,8.2
32,15.6
33,14.9
34,9.7
35,21.8
36,10.7
37,15.2
38,15.6
39,14.2
40,22.3
41,9.4
42,7.7
43,8.2
44,12.1
45,23.9
46,22.2
47,22.7
48,13.3
49,16.7
50,25.7
51,9.0
52,18.1
53,9.5
54,32.0
55,15.9
56,6.6
57,11.5
58,8.4
59,23.2
60,15.1
61,21.3
62,20.2
63,32.9
64,31.5
65,17.1
66,36.2
67,26.5
68,10.4
69,33.8
70,23.8
71,12.2
72,19.5
73,17.3
74,19.6
75,39.6
76,17.8
77,18.2
78,24.1
79,18.6
80,30.4
81,6.6
82,10.7
83,15.3
84,11.7
85,6.4
86,7.5
87,12.2
88,16.3
89,29.9
90,29.2
91,30.9
92,8.6
93,8.7
94,6.8
95,8.1
96,31.1
97,19.7
98,25.3
99,4.8
100,17.1
101,4.8
102,4.1
103,20.0
104,14.3
105,31.1
106,32.8
107,22.2
108,5.5
109,32.3
110,5.3
111,41.8
112,21.6
113,34.6
114,30.2
115,44.3
116,25.3
117,32.4
118,41.1
119,21.3
120,30.0
121,20.8
122,20.5
123,22.9
124,24.7
125,12.8
126,8.3
127,12.1
128,16.9
129,36.2
130,18.0
131,12.9
132,31.0
133,19.8
134,12.1
135,8.1
136,26.1
137,7.1
138,19.3
139,26.6
140,23.5
141,22.9
142,25.7
143,21.8
144,26.6
145,26.5
146,23.9
147,27.2
148,10.8
149,21.0
150,32.7
151,23.0
152,27.4
153,14.4
154,12.2
155,20.8
156,17.0
157,8.6
158,15.4
159,27.6
160,30.9
161,29.0
162,15.6
163,31.3
164,20.9
165,25.9
166,14.2
167,10.9
168,23.2
169,15.2
170,26.3
171,14.7
172,37.7
173,35.0
174,39.7
175,9.1
176,33.9
177,14.7
178,31.7
179,38.6
180,18.4
181,34.4
182,32.0
183,16.3
184,14.7
185,14.1
186,39.5
187,33.7
188,9.1
189,30.1
190,12.7
191,25.8
192,18.3
193,11.3
194,21.0
195,28.0
196,29.4
197,24.2
198,26.0
199,27.0
200,24.4
201,23.9
202,15.9
203,26.4
204,29.5
205,32.6
206,34.4
207,18.4
208,40.7
209,21.1
210,36.1
211,33.9
212,36.2
213,32.8
214,40.4
215,39.5
216,38.5
217,31.6
218,18.7
219,18.8
220,34.4
221,22.7
222,26.1
223,36.3
224,43.6
225,21.5
226,27.3
227,19.2
228,40.9
229,28.6
230,27.0
231,27.6
232,14.2
233,35.0
234,7.4
235,13.6
236,23.3
237,28.9
238,33.6
239,20.5
240,43.6
241,7.7
242,27.7
243,34.6
244,8.0
245,11.8
246,29.1
247,10.0
248,27.2
249,6.7
250,36.3
251,40.1
252,30.0
253,23.5
254,21.8
255,35.5
256,37.4
257,34.4
258,39.3
259,32.4
260,10.0
261,11.8
262,20.2
263,19.0
264,10.6
265,19.6
266,12.7
267,7.8
268,13.5
269,17.3
270,11.6
271,22.5
272,12.7
273,6.4
274,18.9
275,9.3
276,22.4
277,14.0
278,17.7
279,24.5
280,15.1
281,21.6
282,8.1
283,21.1
284,6.4
285,31.7
286,11.6
287,17.8
288,24.7
289,30.3
290,9.3
291,17.3
292,10.7
293,20.2
294,17.3
295,12.9
296,22.2
297,11.1
298,4.0
299,24.4
300,26.5
301,20.0
302,9.0
303,17.5
304,7.6
305,17.1
306,22.9
307,18.2
308,5.0
309,9.3
310,8.0
311,12.3
312,25.2
313,16.0
314,27.2
315,11.3
316,19.4
317,29.2
318,10.9
319,25.4
320,28.6
321,23.5
322,27.0
323,10.6
324,12.4
325,26.7
326,21.4
327,22.5
328,27.3
329,21.3
330,20.8
331,20.3
332,30.6
333,14.2
334,21.1
335,11.5
336,16.5
337,29.3
338,10.4
339,24.7
340,14.9
341,32.6
342,38.8
343,38.6
344,38.2
345,34.6
346,40.0
347,24.1
348,31.1
349,36.2
350,39.1
351,31.9
352,36.7
353,30.9
354,36.2
355,38.5
356,35.6
357,12.9
358,6.8
359,5.2
360,30.7
361,3.6
362,27.9
363,23.8
364,42.5
365,13.1
366,12.4
367,20.9
368,35.9
369,8.8
370,2.8
371,8.7
372,11.4
373,37.0
374,8.9
375,8.4
376,8.6
377,12.8
378,8.8
379,14.4
380,14.6
381,11.5
382,7.2
383,14.1
384,23.0
385,11.6
386,8.6
387,7.0
388,11.3
389,12.7
390,6.4
391,27.5
392,27.8
393,18.9
394,24.4
395,38.4
396,30.2
397,32.9
398,20.8
399,26.6
400,33.6
401,33.1
402,30.4
403,20.9
404,34.3
405,22.5
406,23.4
407,26.1
408,27.5
409,19.8
410,34.7
411,34.8
412,33.0
413,19.3
414,24.4
415,18.3
416,20.7
417,35.1
418,37.4
419,19.3
420,24.7
421,21.7
422,17.9
423,28.6
424,31.2
425,26.9
426,25.6
427,28.4
428,27.7
429,29.4
430,15.9
431,9.0
432,17.3
433,28.4
434,4.6
435,23.0
436,13.5
437,4.3
438,21.8
439,18.5
440,8.4
441,5.8
442,25.6
443,23.7
444,7.4
445,22.2
446,10.3
447,1.6
448,8.1
449,8.2
450,25.8
451,25.3
452,34.9
453,32.6
454,31.8
455,20.1
456,21.5
457,29.9
458,26.7
459,22.2
460,22.2
461,23.0
462,27.7
463,26.9
464,30.0
465,28.4
466,28.3
467,28.2
468,23.5
469,31.6
470,15.4
471,12.3
472,18.1
473,21.9
474,9.0
475,9.3
476,26.3
477,14.6
478,18.0
479,21.0
480,24.6
481,26.9
482,33.0
483,18.7
484,4.8
485,17.9
486,16.3
487,22.3
488,8.6
489,19.1
490,10.0
491,8.0
492,3.2
493,6.1
494,14.0
495,8.5
496,18.1
497,6.5
498,18.6
499,7.2
500,10.2
501,7.8
502,4.5
503,4.0
504,3.3
505,5.6
506,5.3
507,10.0
508,10.7
509,28.0
510,29.2
511,30.2
512,28.5
513,24.2
514,14.4
515,31.6
516,31.9
517,34.0
518,36.7
519,32.4
520,31.9
521,32.7
522,21.3
523,31.4
524,34.0
525,32.1
526,23.1
527,22.6
528,28.7
529,6.9
530,10.6
531,26.1
532,10.2
533,9.3
534,10.6
535,5.7
536,5.9
537,26.4
538,8.5
539,20.2
540,13.7
541,13.3
542,8.9
543,14.5
544,13.5
545,16.2
546,27.0
547,12.1
548,41.3
549,40.7
550,41.8
551,46.5
552,33.5
553,41.3
554,43.8
555,41.7
556,36.3
557,40.7
558,28.4
559,39.2
560,29.0
561,37.8
562,36.0
563,43.0
564,37.5
565,28.9
566,30.2
567,22.3
568,20.7
569,18.6
570,18.5
571,17.2
572,21.1
573,25.7
574,27.0
575,33.0
576,23.7
577,24.5
578,27.6
579,30.6
580,18.8
581,27.2
582,25.8
583,29.0
584,26.2
585,8.2
586,16.5
587,22.3
588,14.4
589,16.2
590,24.3
591,27.1
592,38.1
593,10.4
594,5.2
595,31.7
596,31.6
597,22.1
598,16.6
599,14.4
600,6.3
601,28.0
602,7.7
603,22.9
604,20.2
605,12.0
606,18.9
607,20.3
608,41.1
609,48.7
610,40.8
611,26.8
612,0.7
613,20.6
614,23.6
615,36.2
616,11.4
617,43.9
618,20.5
619,24.6
620,24.0
621,28.8
622,24.3
623,47.7
624,14.0
